Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-10 22:42:13
Trials,5
Model R^2,0.9482
Model RMSE,5.37%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,10.07%,0.067%,27.303,29.339,1.253,0.713,3.018,15.212,1.852,5.006,0.000,4.232
20%,20.08%,0.077%,22.849,42.492,0.107,1.274,5.064,11.311,1.746,7.429,0.000,3.975
30%,30.08%,0.082%,18.002,37.132,0.472,1.057,3.103,8.817,1.029,3.929,0.000,2.935
40%,39.91%,0.093%,22.641,29.415,0.126,0.803,1.818,12.591,1.005,4.998,0.000,2.264
50%,49.81%,0.190%,19.000,30.431,0.500,1.200,3.000,9.000,2.174,6.000,0.000,2.500
60%,60.05%,0.051%,10.864,33.056,0.297,0.550,1.033,10.824,1.873,8.196,0.000,1.877
70%,70.07%,0.075%,15.492,39.204,0.618,1.967,3.455,8.882,2.261,3.225,0.000,1.757
80%,80.02%,0.020%,10.028,31.607,0.560,2.635,3.019,9.395,2.343,8.764,0.000,1.146
90%,89.87%,0.128%,13.158,36.271,1.490,3.368,1.750,5.013,1.927,10.073,0.000,0.520

Summary
Successful,9/9
Avg Error,0.09%
Min Error,0.02%
Max Error,0.19%
