Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-04 21:27:25
Trials,5
Model R^2,0.9808
Model RMSE,2.02%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.81%,0.191%,20.542,27.387,0.500,0.721,5.782,10.889,1.078,5.353,0.000,8.014
20%,19.81%,0.191%,20.230,27.915,0.500,0.755,5.196,10.507,1.163,5.484,0.000,6.879
30%,29.81%,0.192%,19.912,28.455,0.500,0.797,4.594,10.117,1.250,5.618,0.000,5.766
40%,39.80%,0.196%,19.593,28.994,0.500,0.862,4.017,9.727,1.338,5.751,0.000,4.660
50%,49.56%,0.443%,19.310,29.475,0.493,0.992,3.538,9.380,1.415,5.870,0.000,3.565
60%,59.58%,0.419%,19.012,29.980,0.500,1.196,3.018,9.014,1.497,5.995,0.000,2.522
70%,69.58%,0.423%,18.655,30.584,0.507,1.459,2.393,8.578,1.594,6.144,0.000,1.640
80%,79.56%,0.438%,18.207,31.344,0.517,1.753,1.641,8.028,1.717,6.333,0.000,0.936
90%,90.07%,0.065%,14.318,40.651,7.042,1.908,0.888,19.159,1.561,9.949,0.000,0.465

Summary
Successful,9/9
Avg Error,0.28%
Min Error,0.07%
Max Error,0.44%
