Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-07 22:18:24
Trials,5
Model R^2,0.9445
Model RMSE,3.06%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,12.27%,2.271%,13.737,34.448,0.500,0.500,6.215,11.418,1.000,5.410,0.000,12.429
20%,21.76%,1.759%,15.533,32.916,0.500,0.500,4.831,10.576,1.000,5.618,0.000,9.663
30%,29.59%,0.409%,17.013,31.683,0.668,0.549,3.862,9.936,1.008,5.763,0.000,7.032
40%,39.55%,0.449%,17.796,31.020,0.602,0.668,3.486,9.567,1.175,5.856,0.000,5.222
50%,49.68%,0.316%,18.416,30.494,0.549,0.902,3.252,9.275,1.342,5.930,0.000,3.604
60%,59.90%,0.098%,19.085,29.928,0.493,1.244,2.963,8.960,1.523,6.010,0.000,2.381
70%,69.70%,0.298%,19.838,29.290,0.429,1.631,2.637,8.606,1.726,6.100,0.000,1.617
80%,79.60%,0.397%,20.690,28.569,0.357,2.050,2.290,8.204,1.956,6.202,0.000,1.117
90%,89.57%,0.427%,21.608,27.790,0.280,2.486,1.937,7.772,2.204,6.312,0.000,0.779

Summary
Successful,9/9
Avg Error,0.71%
Min Error,0.10%
Max Error,2.27%
