Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-09 15:45:11
Trials,5
Model R^2,0.9613
Model RMSE,2.97%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.90%,0.100%,18.188,23.777,0.500,0.656,4.820,9.880,1.111,4.674,0.000,7.350
20%,19.90%,0.099%,18.386,25.290,0.351,0.726,4.349,9.666,1.205,4.996,0.000,5.988
30%,29.90%,0.098%,18.566,26.675,0.395,0.792,3.924,9.470,1.292,5.291,0.000,4.952
40%,39.90%,0.100%,18.738,27.990,0.437,0.902,3.549,9.284,1.374,5.572,0.000,3.935
50%,49.56%,0.437%,18.896,29.203,0.475,1.070,3.220,9.113,1.450,5.830,0.000,3.010
60%,59.57%,0.427%,19.071,30.543,0.517,1.304,2.843,8.923,1.534,6.116,0.000,2.181
70%,69.57%,0.433%,19.275,32.111,0.567,1.579,2.411,8.701,1.632,6.450,0.000,1.527
80%,79.55%,0.446%,19.513,33.935,0.624,1.880,1.932,8.443,1.746,6.839,0.000,1.028
90%,89.54%,0.458%,19.780,35.982,0.689,2.194,1.426,8.154,1.874,7.275,0.000,0.650

Summary
Successful,9/9
Avg Error,0.29%
Min Error,0.10%
Max Error,0.46%
