Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-10 22:19:24
Trials,5
Model R^2,0.9803
Model RMSE,2.21%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.90%,0.098%,19.050,29.653,0.500,0.753,5.364,10.334,1.023,6.330,0.000,7.126
20%,19.90%,0.098%,19.036,29.745,0.567,0.794,4.705,9.981,1.113,6.243,0.000,5.925
30%,29.90%,0.100%,19.025,29.828,0.545,0.849,4.135,9.663,1.239,6.164,0.000,4.869
40%,39.56%,0.439%,19.014,29.901,0.526,0.960,3.661,9.380,1.350,6.094,0.000,3.814
50%,49.59%,0.410%,19.003,29.977,0.506,1.140,3.158,9.090,1.464,6.022,0.000,2.771
60%,59.59%,0.408%,18.991,30.062,0.484,1.371,2.577,8.762,1.594,5.941,0.000,1.880
70%,69.57%,0.427%,18.977,30.164,0.457,1.629,1.902,8.369,1.749,5.844,0.000,1.168
80%,79.56%,0.443%,18.960,30.283,0.426,1.896,1.147,7.912,1.929,5.731,0.000,0.605
90%,89.36%,0.644%,18.927,30.513,0.365,2.276,1.000,6.788,2.277,5.513,0.000,0.439

Summary
Successful,9/9
Avg Error,0.34%
Min Error,0.10%
Max Error,0.64%
