Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-09 11:53:51
Trials,5
Model R^2,0.9618
Model RMSE,2.24%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,11.98%,1.983%,16.174,31.497,0.500,0.500,6.118,10.814,1.000,6.455,0.000,12.236
20%,19.61%,0.390%,16.764,31.185,0.500,0.526,5.401,10.435,1.002,6.360,0.000,10.274
30%,29.55%,0.449%,17.432,30.831,0.647,0.623,4.657,10.006,1.015,6.252,0.000,7.480
40%,39.90%,0.097%,18.030,30.514,0.591,0.739,3.981,9.622,1.129,6.156,0.000,5.385
50%,49.60%,0.404%,18.528,30.250,0.544,0.913,3.491,9.303,1.319,6.076,0.000,3.824
60%,59.69%,0.314%,19.039,29.980,0.496,1.226,2.959,8.975,1.515,5.994,0.000,2.414
70%,69.62%,0.377%,19.650,29.656,0.439,1.614,2.321,8.583,1.749,5.895,0.000,1.438
80%,79.58%,0.422%,20.375,29.271,0.371,2.037,1.605,8.117,2.027,5.779,0.000,0.788
90%,89.35%,0.651%,21.665,28.588,0.288,2.486,1.000,7.290,2.324,5.637,0.000,0.402

Summary
Successful,9/9
Avg Error,0.57%
Min Error,0.10%
Max Error,1.98%
