Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-09 13:14:53
Trials,5
Model R^2,0.9863
Model RMSE,2.51%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.60%,0.399%,29.270,15.587,1.868,1.297,6.794,13.871,2.481,9.671,0.000,5.240
20%,19.84%,0.161%,29.792,17.018,1.787,1.410,6.595,12.436,2.469,9.540,0.000,4.677
30%,30.29%,0.293%,30.339,18.518,1.702,1.535,6.382,10.933,2.456,9.401,0.000,4.156
40%,40.37%,0.368%,30.887,20.021,1.616,1.663,6.166,9.426,2.443,9.263,0.000,3.707
50%,50.38%,0.384%,31.451,21.568,1.528,1.796,5.943,7.875,2.430,9.121,0.000,3.309
60%,60.39%,0.385%,32.034,23.165,1.438,1.934,5.713,6.274,2.417,8.974,0.000,2.954
70%,70.31%,0.311%,32.684,24.946,1.336,2.087,5.457,5.139,2.401,8.810,0.000,2.615
80%,79.35%,0.654%,34.002,28.562,1.176,2.173,5.061,5.000,2.377,8.550,0.000,2.329
90%,89.34%,0.663%,35.395,32.378,0.964,2.238,4.527,5.000,2.346,8.206,0.000,2.023

Summary
Successful,9/9
Avg Error,0.40%
Min Error,0.16%
Max Error,0.66%
