Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-10 22:36:15
Trials,5
Model R^2,0.9731
Model RMSE,1.98%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,10.19%,0.190%,19.878,36.155,2.653,0.585,6.923,13.899,1.650,3.935,0.000,11.839
20%,20.20%,0.196%,33.978,20.067,1.921,0.709,5.203,14.098,1.025,3.569,0.000,7.334
30%,30.14%,0.137%,19.000,30.000,0.500,0.601,3.000,9.000,1.000,6.000,0.000,4.992
40%,39.99%,0.008%,23.956,41.505,0.891,0.830,3.951,9.978,1.391,9.135,0.000,4.761
50%,50.10%,0.101%,17.600,23.622,0.863,1.672,3.882,13.660,1.067,4.433,0.000,2.322
60%,59.99%,0.013%,16.975,26.332,0.622,2.064,4.294,10.266,1.409,6.680,0.000,2.081
70%,69.90%,0.102%,24.307,41.635,0.339,2.159,1.992,5.910,1.614,8.822,0.000,0.923
80%,79.98%,0.019%,16.951,25.823,0.843,2.098,1.046,9.510,2.057,9.259,0.000,0.499
90%,88.33%,1.674%,10.026,27.141,0.147,2.514,1.048,8.800,2.349,7.566,0.000,0.417

Summary
Successful,9/9
Avg Error,0.27%
Min Error,0.01%
Max Error,1.67%
