Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-08 17:20:56
Trials,5
Model R^2,0.9750
Model RMSE,1.95%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.55%,0.455%,18.046,29.845,0.500,0.588,6.416,10.872,1.006,6.480,0.000,10.920
20%,19.90%,0.097%,18.235,29.876,0.500,0.649,5.719,10.500,1.013,6.385,0.000,8.808
30%,29.90%,0.099%,18.445,29.910,0.596,0.718,4.877,10.087,1.025,6.279,0.000,6.791
40%,39.90%,0.098%,18.643,29.942,0.562,0.792,4.202,9.700,1.171,6.180,0.000,5.305
50%,49.57%,0.429%,18.812,29.970,0.532,0.929,3.646,9.368,1.327,6.094,0.000,3.926
60%,59.62%,0.379%,18.984,29.997,0.503,1.176,3.054,9.031,1.485,6.008,0.000,2.596
70%,69.60%,0.396%,19.189,30.031,0.467,1.501,2.342,8.630,1.674,5.905,0.000,1.560
80%,79.57%,0.427%,19.440,30.071,0.424,1.858,1.506,8.137,1.906,5.779,0.000,0.810
90%,89.43%,0.570%,19.807,30.131,0.360,2.283,1.000,7.219,2.245,5.594,0.000,0.438

Summary
Successful,9/9
Avg Error,0.33%
Min Error,0.10%
Max Error,0.57%
