Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-10 22:53:58
Trials,5
Model R^2,0.9795
Model RMSE,2.54%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.90%,0.099%,18.737,28.578,0.500,0.797,5.187,9.980,1.030,6.344,0.000,6.507
20%,19.90%,0.099%,18.800,28.921,0.526,0.825,4.629,9.744,1.137,6.261,0.000,5.614
30%,29.90%,0.097%,18.860,29.243,0.518,0.879,4.137,9.522,1.246,6.183,0.000,4.707
40%,39.55%,0.450%,18.914,29.537,0.511,0.971,3.704,9.320,1.344,6.112,0.000,3.814
50%,49.57%,0.428%,18.970,29.836,0.504,1.115,3.249,9.113,1.445,6.040,0.000,2.915
60%,59.58%,0.421%,19.031,30.165,0.496,1.297,2.743,8.886,1.555,5.960,0.000,2.115
70%,69.57%,0.429%,19.101,30.545,0.487,1.503,2.164,8.624,1.683,5.868,0.000,1.440
80%,79.56%,0.443%,19.182,30.981,0.477,1.719,1.519,8.323,1.830,5.763,0.000,0.883
90%,89.31%,0.692%,19.292,31.815,0.462,1.960,1.000,7.799,2.030,5.618,0.000,0.510

Summary
Successful,9/9
Avg Error,0.35%
Min Error,0.10%
Max Error,0.69%
