Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-06 19:50:54
Trials,5
Model R^2,0.9601
Model RMSE,2.81%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.55%,0.450%,15.256,23.211,0.500,0.581,5.331,9.239,1.008,5.609,0.000,9.175
20%,19.80%,0.197%,16.018,24.593,0.500,0.654,4.835,9.190,1.017,5.688,0.000,7.399
30%,29.80%,0.197%,16.822,26.050,0.405,0.749,4.306,9.139,1.064,5.772,0.000,5.750
40%,39.80%,0.199%,17.584,27.433,0.439,0.824,3.824,9.090,1.216,5.852,0.000,4.642
50%,49.56%,0.438%,18.258,28.655,0.468,0.969,3.438,9.047,1.351,5.922,0.000,3.546
60%,59.58%,0.418%,18.957,29.922,0.498,1.190,3.023,9.003,1.491,5.996,0.000,2.540
70%,69.58%,0.420%,19.747,31.355,0.532,1.460,2.550,8.952,1.650,6.078,0.000,1.746
80%,79.57%,0.433%,20.651,32.994,0.572,1.757,2.025,8.895,1.831,6.173,0.000,1.153
90%,89.55%,0.446%,21.653,34.810,0.615,2.067,1.468,8.831,2.031,6.277,0.000,0.710

Summary
Successful,9/9
Avg Error,0.36%
Min Error,0.20%
Max Error,0.45%
