Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-09 22:56:54
Trials,5
Model R^2,0.9753
Model RMSE,2.01%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.55%,0.447%,19.035,29.104,0.500,0.574,5.459,11.039,1.005,5.201,0.000,9.507
20%,19.90%,0.097%,19.027,29.304,0.500,0.648,4.887,10.583,1.022,5.380,0.000,7.544
30%,29.90%,0.099%,19.019,29.516,0.545,0.713,4.284,10.102,1.168,5.569,0.000,6.007
40%,39.90%,0.099%,19.011,29.720,0.526,0.819,3.720,9.638,1.307,5.750,0.000,4.541
50%,49.59%,0.406%,19.004,29.894,0.510,1.029,3.279,9.240,1.427,5.906,0.000,3.188
60%,59.62%,0.381%,18.996,30.092,0.492,1.357,2.754,8.791,1.563,6.082,0.000,2.029
70%,69.58%,0.418%,18.986,30.347,0.468,1.761,2.102,8.211,1.738,6.309,0.000,1.193
80%,79.56%,0.441%,18.974,30.665,0.439,2.208,1.357,7.486,1.957,6.593,0.000,0.615
90%,89.45%,0.549%,18.952,31.291,0.387,2.519,1.000,5.894,2.344,7.130,0.000,0.397

Summary
Successful,9/9
Avg Error,0.33%
Min Error,0.10%
Max Error,0.55%
