Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-17 09:02:14
Trials,5
Model R^2,0.9826
Model RMSE,1.65%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.90%,0.098%,19.625,27.391,0.500,0.743,6.803,10.738,1.016,6.549,0.000,9.156
20%,19.90%,0.098%,19.498,27.922,0.500,0.791,6.004,10.384,1.023,6.438,0.000,7.589
30%,29.90%,0.098%,19.374,28.437,0.517,0.755,4.835,10.041,1.092,6.329,0.000,6.402
40%,39.90%,0.097%,19.239,29.001,0.511,0.880,4.396,9.665,1.239,6.210,0.000,4.997
50%,49.56%,0.437%,19.124,29.484,0.506,0.993,3.730,9.344,1.365,6.109,0.000,3.755
60%,59.59%,0.410%,19.004,29.985,0.500,1.198,3.018,9.010,1.496,6.003,0.000,2.519
70%,69.58%,0.416%,18.862,30.578,0.494,1.463,2.175,8.615,1.651,5.878,0.000,1.486
80%,79.57%,0.435%,18.688,31.301,0.486,1.744,1.182,8.133,1.840,5.726,0.000,0.678
90%,89.19%,0.814%,18.097,33.947,0.465,2.203,1.000,6.370,2.304,5.229,0.000,0.454

Summary
Successful,9/9
Avg Error,0.32%
Min Error,0.10%
Max Error,0.81%
