Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-04 20:50:33
Trials,5
Model R^2,0.9339
Model RMSE,2.69%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,14.75%,4.751%,10.000,22.912,0.500,0.500,7.000,10.092,1.000,4.554,0.000,14.000
20%,21.95%,1.946%,11.338,24.927,0.500,0.500,5.901,9.804,1.000,4.963,0.000,11.801
30%,31.52%,1.516%,14.182,26.861,0.530,0.500,4.476,9.500,1.000,5.355,0.000,8.952
40%,39.58%,0.424%,15.982,28.002,0.520,0.578,3.832,9.333,1.013,5.570,0.000,6.628
50%,49.56%,0.438%,17.352,28.909,0.511,0.734,3.424,9.182,1.210,5.765,0.000,4.665
60%,59.66%,0.345%,18.490,29.663,0.503,1.037,3.139,9.056,1.410,5.927,0.000,3.027
70%,69.66%,0.337%,19.767,30.508,0.495,1.449,2.789,8.915,1.635,6.109,0.000,1.925
80%,79.60%,0.399%,21.243,31.485,0.485,1.913,2.401,8.752,1.895,6.319,0.000,1.255
90%,89.45%,0.554%,25.153,34.074,0.466,2.206,1.679,8.382,2.138,6.815,0.000,0.761

Summary
Successful,9/9
Avg Error,1.19%
Min Error,0.34%
Max Error,4.75%
