Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-11 12:34:48
Trials,5
Model R^2,0.9832
Model RMSE,2.06%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.90%,0.097%,20.421,28.113,0.500,0.872,5.661,10.303,1.132,6.395,0.000,6.488
20%,19.90%,0.096%,20.072,28.576,0.501,0.888,4.973,9.983,1.222,6.298,0.000,5.598
30%,29.90%,0.099%,19.739,29.019,0.501,0.940,4.363,9.678,1.308,6.205,0.000,4.642
40%,39.55%,0.448%,19.425,29.435,0.500,1.023,3.790,9.390,1.390,6.118,0.000,3.705
50%,49.57%,0.429%,19.100,29.867,0.500,1.159,3.184,9.092,1.474,6.028,0.000,2.747
60%,59.57%,0.426%,18.739,30.347,0.500,1.332,2.506,8.760,1.568,5.927,0.000,1.882
70%,69.57%,0.435%,18.319,30.904,0.499,1.519,1.731,8.375,1.677,5.811,0.000,1.140
80%,79.35%,0.652%,17.471,32.031,0.499,1.715,1.000,7.598,1.826,5.651,0.000,0.583
90%,89.51%,0.491%,15.681,34.569,0.497,2.071,1.000,5.956,2.361,5.078,0.000,0.483

Summary
Successful,9/9
Avg Error,0.35%
Min Error,0.10%
Max Error,0.65%
