Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-04 21:59:02
Trials,5
Model R^2,0.9852
Model RMSE,2.45%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.59%,0.408%,39.242,20.418,1.549,1.188,6.946,12.453,1.494,4.861,0.000,5.845
20%,20.20%,0.199%,37.905,20.845,1.533,1.306,6.740,11.402,1.662,5.615,0.000,5.159
30%,30.39%,0.388%,36.577,21.270,1.517,1.431,6.530,10.357,1.830,6.365,0.000,4.563
40%,40.42%,0.416%,35.222,21.704,1.500,1.564,6.313,9.291,2.000,7.130,0.000,4.036
50%,50.42%,0.424%,33.815,22.154,1.483,1.706,6.084,8.184,2.178,7.924,0.000,3.567
60%,60.43%,0.425%,32.347,22.624,1.466,1.855,5.844,7.030,2.362,8.752,0.000,3.151
70%,70.42%,0.423%,30.819,23.113,1.447,2.009,5.595,5.827,2.555,9.614,0.000,2.785
80%,80.30%,0.302%,28.800,23.759,1.422,2.140,5.271,5.099,2.809,10.754,0.000,2.463
90%,89.59%,0.413%,25.839,24.636,1.392,2.216,4.874,5.000,3.127,12.425,0.000,2.200

Summary
Successful,9/9
Avg Error,0.38%
Min Error,0.20%
Max Error,0.43%
