Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-09 22:48:16
Trials,5
Model R^2,0.9588
Model RMSE,4.05%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.90%,0.098%,17.522,30.734,0.500,0.707,4.268,9.729,1.033,6.278,0.000,6.040
20%,19.90%,0.099%,18.002,30.496,0.583,0.769,3.838,9.492,1.165,6.188,0.000,4.989
30%,29.56%,0.439%,18.333,30.331,0.556,0.871,3.571,9.329,1.276,6.125,0.000,4.098
40%,39.60%,0.402%,18.664,30.167,0.528,1.022,3.293,9.166,1.387,6.063,0.000,3.222
50%,49.63%,0.370%,19.017,29.992,0.499,1.210,2.985,8.992,1.506,5.997,0.000,2.468
60%,59.61%,0.388%,19.409,29.797,0.466,1.421,2.642,8.798,1.637,5.923,0.000,1.859
70%,69.58%,0.416%,19.845,29.580,0.430,1.648,2.269,8.583,1.784,5.841,0.000,1.376
80%,79.57%,0.433%,20.321,29.344,0.390,1.884,1.874,8.349,1.943,5.752,0.000,0.995
90%,89.55%,0.447%,20.829,29.092,0.348,2.125,1.467,8.098,2.114,5.656,0.000,0.690

Summary
Successful,9/9
Avg Error,0.34%
Min Error,0.10%
Max Error,0.45%
