Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-04 20:42:22
Trials,5
Model R^2,0.9806
Model RMSE,1.92%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.80%,0.198%,18.965,28.919,0.500,0.692,6.422,10.692,1.014,6.581,0.000,9.275
20%,19.80%,0.199%,18.972,29.131,0.500,0.745,5.729,10.361,1.021,6.467,0.000,7.694
30%,29.81%,0.194%,18.979,29.341,0.559,0.692,4.473,10.031,1.057,6.354,0.000,6.460
40%,39.80%,0.200%,18.986,29.564,0.539,0.812,4.162,9.683,1.207,6.235,0.000,5.129
50%,49.56%,0.439%,18.992,29.762,0.521,0.959,3.730,9.372,1.340,6.128,0.000,3.891
60%,59.59%,0.406%,18.999,29.956,0.504,1.153,3.137,9.070,1.470,6.024,0.000,2.721
70%,69.59%,0.407%,19.006,30.178,0.484,1.407,2.444,8.721,1.620,5.904,0.000,1.737
80%,79.57%,0.428%,19.014,30.448,0.460,1.687,1.631,8.299,1.801,5.759,0.000,0.967
90%,89.55%,0.446%,19.025,30.762,0.432,1.971,0.725,7.807,2.012,5.590,0.000,0.368

Summary
Successful,9/9
Avg Error,0.32%
Min Error,0.19%
Max Error,0.45%
