Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-10 13:57:09
Trials,5
Model R^2,0.9819
Model RMSE,1.97%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,10.01%,0.008%,21.104,25.723,5.937,0.617,5.729,19.950,1.980,3.000,0.000,9.278
20%,20.06%,0.057%,19.000,30.000,0.500,0.502,3.000,9.000,1.000,6.000,0.000,5.973
30%,30.07%,0.071%,16.202,42.883,1.049,0.687,4.714,5.945,1.911,6.580,0.000,6.861
40%,40.09%,0.088%,23.452,43.885,0.737,1.063,4.291,13.894,1.092,8.514,0.000,4.037
50%,50.18%,0.181%,19.000,30.000,0.500,1.111,3.000,9.000,1.000,6.000,0.000,2.700
60%,60.13%,0.134%,23.471,36.304,0.630,1.789,4.566,12.008,1.372,5.077,0.000,2.552
70%,70.11%,0.114%,15.338,37.985,1.155,0.984,2.751,7.616,2.104,7.790,0.000,2.795
80%,80.03%,0.030%,18.647,25.432,1.066,2.343,1.026,8.708,1.375,7.677,0.000,0.438
90%,90.13%,0.131%,13.785,38.499,0.132,2.164,1.914,6.730,2.131,5.433,0.000,0.884

Summary
Successful,9/9
Avg Error,0.09%
Min Error,0.01%
Max Error,0.18%
