Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-06 19:28:18
Trials,5
Model R^2,0.9644
Model RMSE,2.30%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.59%,0.406%,15.900,32.109,0.500,0.532,6.186,10.232,1.003,7.587,0.000,11.635
20%,19.55%,0.446%,16.568,31.655,0.500,0.599,5.481,9.967,1.012,7.245,0.000,9.145
30%,29.80%,0.196%,17.394,31.092,0.651,0.709,4.597,9.638,1.034,6.822,0.000,6.485
40%,39.56%,0.439%,18.028,30.661,0.592,0.825,3.961,9.386,1.162,6.498,0.000,4.800
50%,49.63%,0.370%,18.592,30.278,0.538,1.019,3.413,9.162,1.358,6.209,0.000,3.349
60%,59.67%,0.328%,19.204,29.862,0.481,1.294,2.793,8.919,1.571,5.896,0.000,2.159
70%,69.61%,0.385%,19.905,29.384,0.415,1.605,2.088,8.640,1.815,5.537,0.000,1.301
80%,79.58%,0.421%,20.693,28.848,0.340,1.928,1.323,8.327,2.088,5.133,0.000,0.686
90%,89.41%,0.595%,21.960,27.986,0.253,2.268,0.500,7.910,2.342,4.536,0.000,0.220

Summary
Successful,9/9
Avg Error,0.40%
Min Error,0.20%
Max Error,0.60%
