Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-09 14:14:52
Trials,5
Model R^2,0.9842
Model RMSE,2.11%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.90%,0.097%,19.743,28.619,0.500,0.877,5.614,10.103,1.068,6.712,0.000,6.401
20%,19.90%,0.099%,19.561,28.958,0.525,0.891,4.947,9.833,1.174,6.537,0.000,5.550
30%,29.90%,0.098%,19.390,29.274,0.517,0.942,4.359,9.580,1.273,6.374,0.000,4.628
40%,39.55%,0.445%,19.230,29.573,0.510,1.022,3.806,9.341,1.366,6.220,0.000,3.724
50%,49.57%,0.427%,19.063,29.883,0.503,1.150,3.220,9.094,1.463,6.060,0.000,2.799
60%,59.58%,0.423%,18.880,30.223,0.495,1.311,2.573,8.822,1.570,5.885,0.000,1.962
70%,69.57%,0.432%,18.673,30.609,0.486,1.486,1.846,8.514,1.690,5.686,0.000,1.242
80%,79.56%,0.444%,18.439,31.043,0.475,1.659,1.046,8.167,1.826,5.463,0.000,0.631
90%,89.24%,0.761%,17.576,32.737,0.443,1.933,1.000,6.813,2.264,4.647,0.000,0.517

Summary
Successful,9/9
Avg Error,0.36%
Min Error,0.10%
Max Error,0.76%
