Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-17 16:10:13
Trials,5
Model R^2,0.9836
Model RMSE,1.58%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.90%,0.098%,21.353,27.329,0.500,0.754,6.861,11.305,1.013,6.026,0.000,9.099
20%,19.90%,0.099%,20.890,27.855,0.500,0.799,6.138,10.851,1.057,6.021,0.000,7.678
30%,29.90%,0.098%,20.452,28.351,0.505,0.735,4.895,10.423,1.160,6.016,0.000,6.660
40%,39.90%,0.098%,19.951,28.920,0.503,0.869,4.520,9.932,1.277,6.010,0.000,5.203
50%,49.55%,0.446%,19.517,29.413,0.502,0.968,3.836,9.507,1.379,6.006,0.000,3.961
60%,59.59%,0.415%,19.082,29.907,0.500,1.163,3.132,9.081,1.481,6.001,0.000,2.693
70%,69.58%,0.416%,18.570,30.489,0.498,1.429,2.295,8.578,1.601,5.995,0.000,1.606
80%,79.57%,0.434%,17.924,31.222,0.496,1.719,1.280,7.946,1.752,5.988,0.000,0.745
90%,89.44%,0.556%,15.707,33.738,0.490,2.190,1.000,5.774,2.192,5.968,0.000,0.457

Summary
Successful,9/9
Avg Error,0.30%
Min Error,0.10%
Max Error,0.56%
