Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-14 13:57:38
Trials,5
Model R^2,0.9837
Model RMSE,2.29%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.90%,0.096%,19.527,28.755,0.500,0.856,5.371,10.066,1.080,6.545,0.000,6.274
20%,19.90%,0.100%,19.398,29.059,0.526,0.873,4.765,9.806,1.182,6.412,0.000,5.456
30%,29.90%,0.099%,19.279,29.340,0.518,0.928,4.243,9.565,1.277,6.289,0.000,4.572
40%,39.55%,0.448%,19.168,29.604,0.511,1.011,3.752,9.339,1.366,6.173,0.000,3.711
50%,49.57%,0.429%,19.052,29.877,0.503,1.140,3.232,9.105,1.459,6.054,0.000,2.836
60%,59.58%,0.424%,18.925,30.177,0.495,1.301,2.658,8.849,1.560,5.923,0.000,2.043
70%,69.57%,0.432%,18.781,30.518,0.486,1.479,2.010,8.557,1.675,5.774,0.000,1.360
80%,79.56%,0.444%,18.617,30.904,0.475,1.659,1.294,8.226,1.805,5.604,0.000,0.780
90%,89.21%,0.792%,18.217,32.069,0.451,1.907,1.000,7.229,2.096,5.184,0.000,0.524

Summary
Successful,9/9
Avg Error,0.36%
Min Error,0.10%
Max Error,0.79%
