Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-07 22:00:41
Trials,5
Model R^2,0.9802
Model RMSE,2.36%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.90%,0.099%,19.072,28.709,0.500,0.771,5.290,10.224,1.024,6.157,0.000,6.864
20%,19.90%,0.099%,19.055,29.015,0.532,0.802,4.717,9.934,1.132,6.120,0.000,5.882
30%,29.90%,0.099%,19.038,29.312,0.522,0.850,4.179,9.652,1.243,6.084,0.000,4.918
40%,39.55%,0.453%,19.023,29.577,0.514,0.944,3.734,9.401,1.342,6.051,0.000,3.955
50%,49.57%,0.426%,19.009,29.843,0.505,1.097,3.275,9.149,1.441,6.019,0.000,2.984
60%,59.58%,0.417%,18.992,30.136,0.496,1.299,2.757,8.871,1.551,5.983,0.000,2.123
70%,69.57%,0.428%,18.973,30.482,0.484,1.531,2.154,8.543,1.680,5.941,0.000,1.407
80%,79.56%,0.442%,18.951,30.889,0.471,1.776,1.471,8.157,1.832,5.892,0.000,0.829
90%,89.37%,0.633%,18.916,31.724,0.451,2.069,1.000,7.366,2.063,5.817,0.000,0.483

Summary
Successful,9/9
Avg Error,0.34%
Min Error,0.10%
Max Error,0.63%
