Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-11 21:20:32
Trials,5
Model R^2,0.9584
Model RMSE,3.34%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.90%,0.099%,19.947,23.115,0.500,0.762,5.118,10.048,1.277,4.748,0.000,6.715
20%,19.90%,0.099%,19.738,24.629,0.500,0.798,4.623,9.817,1.326,5.023,0.000,5.795
30%,29.90%,0.099%,19.502,26.352,0.368,0.872,4.062,9.555,1.382,5.336,0.000,4.661
40%,39.90%,0.098%,19.316,27.698,0.417,0.962,3.673,9.350,1.425,5.581,0.000,3.817
50%,49.55%,0.449%,19.139,28.991,0.464,1.088,3.295,9.154,1.467,5.816,0.000,3.029
60%,59.56%,0.439%,18.945,30.398,0.514,1.261,2.874,8.939,1.513,6.072,0.000,2.280
70%,69.56%,0.441%,18.726,31.993,0.572,1.462,2.398,8.697,1.565,6.363,0.000,1.640
80%,79.55%,0.450%,18.475,33.821,0.638,1.679,1.870,8.419,1.624,6.695,0.000,1.114
90%,89.90%,0.098%,18.181,35.956,0.715,1.906,1.278,8.094,1.693,7.083,0.000,0.671

Summary
Successful,9/9
Avg Error,0.25%
Min Error,0.10%
Max Error,0.45%
