Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-07 20:54:29
Trials,5
Model R^2,0.9865
Model RMSE,1.77%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,9.90%,0.098%,20.803,30.331,0.500,0.762,5.844,11.065,1.021,6.115,0.000,7.668
20%,19.90%,0.098%,20.363,30.250,0.591,0.788,5.123,10.561,1.138,6.087,0.000,6.504
30%,29.90%,0.098%,19.957,30.176,0.564,0.824,4.452,10.097,1.246,6.061,0.000,5.405
40%,39.55%,0.455%,19.589,30.108,0.539,0.909,3.903,9.675,1.344,6.038,0.000,4.296
50%,49.58%,0.418%,19.233,30.043,0.516,1.069,3.363,9.267,1.438,6.015,0.000,3.146
60%,59.60%,0.401%,18.842,29.971,0.490,1.296,2.751,8.819,1.542,5.990,0.000,2.122
70%,69.58%,0.421%,18.365,29.883,0.458,1.564,2.017,8.273,1.669,5.959,0.000,1.290
80%,79.56%,0.439%,17.786,29.777,0.419,1.844,1.167,7.610,1.822,5.922,0.000,0.633
90%,89.47%,0.530%,16.179,29.537,0.333,2.271,1.000,5.768,2.169,5.839,0.000,0.440

Summary
Successful,9/9
Avg Error,0.33%
Min Error,0.10%
Max Error,0.53%
